Price Period,Town,Super,Diesel,Kerosene,TOWNS,Super , Diesel,                      TOWNS, Diesel ,Kerosene ,Petrol,TOWN,Super Petrol,Period
15th November 2022 – 14th December 2022,,177.72,,146.36,Kajiado,,162.42,,,,,,,
15th November 2022 – 14th December 2022,,177.59,,146.23,Makuyu,,162.29,,,,,,,
15th November 2022 – 14th December 2022,,177.82,,146.46,Muranga,,162.52,,,,,,,
15th November 2022 – 14th December 2022,,178.05,,146.68,Sagana,,162.75,,,,,,,
15th November 2022 – 14th December 2022,,178.4,,147.04,Embu,,163.1,,,,,,,
15th November 2022 – 14th December 2022,,178.33,,146.97,Kerugoya,,163.03,,,,,,,
15th November 2022 – 14th December 2022,,178.69,,147.33,Narok,,163.4,,,,,,,
15th November 2022 – 14th December 2022,,178.67,,147.31,Nyeri,,163.37,,,,,,,
15th November 2022 – 14th December 2022,,178.85,,147.48,Namanga,,163.55,,,,,,,
15th November 2022 – 14th December 2022,,178.64,,147.28,Kiganjo,,163.34,,,,,,,
15th November 2022 – 14th December 2022,,178.93,,147.57,Chuka,,163.63,,,,,,,
15th November 2022 – 14th December 2022,,178.84,,147.47,Kitui,,163.54,,,,,,,
15th November 2022 – 14th December 2022,,179.22,,147.86,Mwingi,,163.93,,,,,,,
15th November 2022 – 14th December 2022,,179.23,,147.87,Nanyuki,,163.94,,,,,,,
15th November 2022 – 14th December 2022,,180.21,,148.84,Nkubu,,164.91,,,,,,,
15th November 2022 – 14th December 2022,,179.74,,148.38,Mtito Andei,,164.44,,,,,,,
15th November 2022 – 14th December 2022,,180.4,,149.04,Meru,,165.1,,,,,,,
15th November 2022 – 14th December 2022,,180.26,,148.89,Isiolo,,164.96,,,,,,,
15th November 2022 – 14th December 2022,,180.85,,149.49,Maua,,165.56,,,,,,,
15th November 2022 – 14th December 2022,,181.47,,150.11,Garissa,,166.17,,,,,,,
15th November 2022 – 14th December 2022,,185.15,,153.79,Marsabit,,169.85,,,,,,,
15th November 2022 – 14th December 2022,,184.24,,152.87,Liboi,,168.94,,,,,,,
15th November 2022 – 14th December 2022,,186.74,,155.37,Moyale,,171.44,,,,,,,
15th November 2022 – 14th December 2022,,185.79,,154.43,Sololo,,170.49,,,,,,,
15th November 2022 – 14th December 2022,,184.16,,152.8,Habaswein,,168.86,,,,,,,
15th November 2022 – 14th December 2022,,182.85,,151.49,Dadaab,,167.55,,,,,,,
15th November 2022 – 14th December 2022,,186.42,,155.04,Tarbaj,,171.12,,,,,,,
15th November 2022 – 14th December 2022,,188.02,,156.65,Elwak,,172.72,,,,,,,
15th November 2022 – 14th December 2022,,186.57,,155.21,Wajir,,171.27,,,,,,,
15th November 2022 – 14th December 2022,,184.3,,152.94,Modogashe,,169.0,,,,,,,
15th November 2022 – 14th December 2022,,190.35,,158.98,Mandera,,175.05,,,,,,,
15th November 2022 – 14th December 2022,,178.2,,146.84,Matuu,,162.9,,,,,,,
15th November 2022 – 14th December 2022,,182.65,,151.29,Merti,,167.35,,,,,,,
15th November 2022 – 14th December 2022,,179.67,,148.29,Oldonyiro,,164.36,,,,,,,
15th November 2022 – 14th December 2022,,188.34,,156.98,Eldas,,173.04,,,,,,,
15th November 2022 – 14th December 2022,,185.38,,154.02,Bute,,170.08,,,,,,,
15th November 2022 – 14th December 2022,,183.97,,152.6,Hadado,,168.67,,,,,,,
15th November 2022 – 14th December 2022,,177.42,,146.06,Mai Mahiu,,162.12,,,,,,,
15th November 2022 – 14th December 2022,,180.0,,148.63,Doldo,,164.7,,,,,,,
15th November 2022 – 14th December 2022,,179.12,,147.75,Lamuria,,163.82,,,,,,,
15th November 2022 – 14th December 2022,,179.98,,148.62,Sipili,,164.68,,,,,,,
15th November 2022 – 14th December 2022,,179.61,,148.25,Marimanti,,164.31,,,,,,,
15th November 2022 – 14th December 2022,,178.95,,147.58,Mutuobare,,163.65,,,,,,,
15th November 2022 – 14th December 2022,,186.11,,154.75,North Horr,,170.82,,,,,,,
15th November 2022 – 14th December 2022,,184.73,,153.37,Maikona,,169.43,,,,,,,
15th November 2022 – 14th December 2022,,185.27,,153.91,Kalacha,,169.97,,,,,,,
15th November 2022 – 14th December 2022,,185.34,,153.97,Loyangalani,,170.04,,,,,,,
15th November 2022 – 14th December 2022,,185.14,,153.78,Turbi,,169.84,,,,,,,
15th November 2022 – 14th December 2022,,182.36,,150.98,Laisamis,,167.06,,,,,,,
15th November 2022 – 14th December 2022,,182.05,,150.69,Merille,,166.75,,,,,,,
15th November 2022 – 14th December 2022,,183.3,,151.93,Korr,,168.0,,,,,,,
15th November 2022 – 14th December 2022,,176.62,,145.79,Nakuru,,161.83,,,,,,,
15th November 2022 – 14th December 2022,,176.58,,145.76,Gilgil,,161.79,,,,,,,
15th November 2022 – 14th December 2022,,176.57,,145.74,Mogotio,,161.78,,,,,,,
15th November 2022 – 14th December 2022,,176.65,,145.83,Molo,,161.86,,,,,,,
15th November 2022 – 14th December 2022,,177.36,,146.53,Olenguruone,,162.56,,,,,,,
15th November 2022 – 14th December 2022,,176.88,,146.05,Londiani,,162.09,,,,,,,
15th November 2022 – 14th December 2022,,176.87,,146.04,Nyahururu,,162.08,,,,,,,
15th November 2022 – 14th December 2022,,179.85,,149.03,Archers Post,,165.06,,,,,,,
15th November 2022 – 14th December 2022,,180.95,,150.13,Lodosoit,,166.16,,,,,,,
15th November 2022 – 14th December 2022,,176.95,,146.11,Naivasha,,162.15,,,,,,,
15th November 2022 – 14th December 2022,,177.34,,146.51,Marigat,,162.55,,,,,,,
15th November 2022 – 14th December 2022,,177.83,,147.01,Kabarnet ,,163.04,,,,,,,
15th November 2022 – 14th December 2022,,178.92,,148.1,Maralal,,164.13,,,,,,,
15th November 2022 – 14th December 2022,,179.76,,148.93,Wamba,,164.97,,,,,,,
15th November 2022 – 14th December 2022,,177.41,,146.58,Rumuruti,,162.62,,,,,,,
15th November 2022 – 14th December 2022,,177.5,,146.67,Eldoret,,162.72,,,,,,,
15th November 2022 – 14th December 2022,,177.5,,146.67,Kiplombe,,162.72,,,,,,,
15th November 2022 – 14th December 2022,,177.5,,146.67,Iten,,162.72,,,,,,,
15th November 2022 – 14th December 2022,,177.5,,146.67,Naiberi,,162.72,,,,,,,
15th November 2022 – 14th December 2022,,177.5,,146.67,Kesses,,162.72,,,,,,,
15th November 2022 – 14th December 2022,,177.52,,146.68,Kapsabet,,162.74,,,,,,,
15th November 2022 – 14th December 2022,,177.93,,147.1,Webuye,,163.15,,,,,,,
15th November 2022 – 14th December 2022,,177.86,,147.03,Kitale,,163.08,,,,,,,
15th November 2022 – 14th December 2022,,178.5,,147.67,Kapenguria ,,163.72,,,,,,,
15th November 2022 – 14th December 2022,,178.26,,147.44,Bungoma,,163.48,,,,,,,
15th November 2022 – 14th December 2022,,177.52,,146.68,Moiben,,162.74,,,,,,,
15th November 2022 – 14th December 2022,,177.49,,146.66,Matunda,,162.7,,,,,,,
15th November 2022 – 14th December 2022,,177.45,,146.62,Burnt Forest,,162.67,,,,,,,
15th November 2022 – 14th December 2022,,177.54,,146.71,Tambach,,162.76,,,,,,,
15th November 2022 – 14th December 2022,,178.0,,147.18,Kapsowar,,163.22,,,,,,,
15th November 2022 – 14th December 2022,,177.89,,147.06,Chebara,,163.1,,,,,,,
15th November 2022 – 14th December 2022,,177.81,,146.99,Kimwarer,,163.03,,,,,,,
15th November 2022 – 14th December 2022,,177.73,,146.9,Timboroa,,162.95,,,,,,,
15th November 2022 – 14th December 2022,,177.69,,146.87,Nandi Hills,,162.91,,,,,,,
15th November 2022 – 14th December 2022,,177.55,,146.73,Kaiboi,,162.77,,,,,,,
15th November 2022 – 14th December 2022,,178.05,,147.21,Kiminini,,163.27,,,,,,,
15th November 2022 – 14th December 2022,,178.39,,147.57,Endebes,,163.61,,,,,,,
15th November 2022 – 14th December 2022,,178.07,,147.25,Saboti,,163.29,,,,,,,
15th November 2022 – 14th December 2022,,178.71,,147.87,Chepareria,,163.93,,,,,,,
15th November 2022 – 14th December 2022,,180.33,,149.49,Lomut,,165.53,,,,,,,
15th November 2022 – 14th December 2022,,179.12,,148.29,Burgich,,164.34,,,,,,,
15th November 2022 – 14th December 2022,,179.25,,148.42,Sigor,,164.47,,,,,,,
15th November 2022 – 14th December 2022,,181.68,,150.85,Lodwar,,166.9,,,,,,,
15th November 2022 – 14th December 2022,,183.27,,152.44,Kakuma,,168.49,,,,,,,
15th November 2022 – 14th December 2022,,180.68,,149.85,Lokichar,,165.9,,,,,,,
15th November 2022 – 14th December 2022,,182.44,,151.61,Kalokol,,167.66,,,,,,,
15th November 2022 – 14th December 2022,,181.05,,150.22,Lokori,,166.27,,,,,,,
15th November 2022 – 14th December 2022,,185.33,,154.49,Lokitaung,,170.55,,,,,,,
15th November 2022 – 14th December 2022,,180.33,,149.49,Kapedo,,165.53,,,,,,,
15th November 2022 – 14th December 2022,,178.66,,147.84,Malaba,,163.88,,,,,,,
15th November 2022 – 14th December 2022,,184.46,,153.63,Lokichogio,,169.68,,,,,,,
15th November 2022 – 14th December 2022,,177.69,,146.87,Ziwa,,162.91,,,,,,,
15th November 2022 – 14th December 2022,,177.51,,146.67,Soy,,162.72,,,,,,,
15th November 2022 – 14th December 2022,,177.57,,146.74,Moi's Bridge,,162.78,,,,,,,
15th November 2022 – 14th December 2022,,177.45,,146.62,Turbo,,162.67,,,,,,,
15th November 2022 – 14th December 2022,,185.56,,154.73,Kibish,,170.77,,,,,,,
15th November 2022 – 14th December 2022,,184.39,,153.55,Nakalale,,169.6,,,,,,,
15th November 2022 – 14th December 2022,,180.8,,149.97,Loima,,166.02,,,,,,,
15th November 2022 – 14th December 2022,,182.37,,151.53,Lokiriama,,167.59,,,,,,,
15th November 2022 – 14th December 2022,,179.57,,148.74,Kainuk,,164.79,,,,,,,
15th November 2022 – 14th December 2022,,178.9,,148.07,Kacheliba,,164.12,,,,,,,
15th November 2022 – 14th December 2022,,179.5,,148.68,Kiwawa,,164.72,,,,,,,
15th November 2022 – 14th December 2022,,179.09,,148.26,Ortum,,164.31,,,,,,,
15th November 2022 – 14th December 2022,,177.89,,147.06,Kachibora,,163.1,,,,,,,
15th November 2022 – 14th December 2022,,178.6,,147.78,Kwanza,,163.82,,,,,,,
15th November 2022 – 14th December 2022,,177.92,,147.08,Kaplamai,,163.14,,,,,,,
15th November 2022 – 14th December 2022,,178.33,,147.51,Eldama Ravine,,163.55,,,,,,,
15th November 2022 – 14th December 2022,,178.47,,147.65,Tenges,,163.69,,,,,,,
15th November 2022 – 14th December 2022,,178.59,,147.75,Barwessa,,163.81,,,,,,,
15th November 2022 – 14th December 2022,,179.49,,148.66,Kipsaraman,,164.71,,,,,,,
15th November 2022 – 14th December 2022,,179.36,,148.53,Loruk,,164.58,,,,,,,
15th November 2022 – 14th December 2022,,178.33,,147.51,Kabartonjo,,163.55,,,,,,,
15th November 2022 – 14th December 2022,,178.39,,147.57,Tindiret,,163.61,,,,,,,
15th November 2022 – 14th December 2022,,177.57,,146.74,O'lessos,,162.78,,,,,,,
15th November 2022 – 14th December 2022,,177.97,,147.14,Kobujoi,,163.19,,,,,,,
15th November 2022 – 14th December 2022,,178.05,,147.21,Serem,,163.27,,,,,,,
15th November 2022 – 14th December 2022,,177.51,,146.67,Kabiyet,,162.72,,,,,,,
15th November 2022 – 14th December 2022,,177.93,,147.1,Cheptulu,,163.15,,,,,,,
15th November 2022 – 14th December 2022,,178.47,,147.65,Songor,,163.69,,,,,,,
15th November 2022 – 14th December 2022,,178.11,,147.28,Kapcherop,,163.33,,,,,,,
15th November 2022 – 14th December 2022,,178.79,,147.97,Sambalat,,164.01,,,,,,,
15th November 2022 – 14th December 2022,,178.45,,147.61,Arror,,163.67,,,,,,,
15th November 2022 – 14th December 2022,,178.65,,147.82,Tot,,163.87,,,,,,,
15th November 2022 – 14th December 2022,,177.69,,146.87,Kaptarakwa,,162.91,,,,,,,
15th November 2022 – 14th December 2022,,180.65,,149.82,Kapese,,165.86,,,,,,,
15th November 2022 – 14th December 2022,,180.03,,149.21,Kalemngorok,,165.25,,,,,,,
15th November 2022 – 14th December 2022,,179.02,,148.19,Marich,,164.24,,,,,,,
15th November 2022 – 14th December 2022,,179.5,,148.68,Alale,,164.72,,,,,,,
15th November 2022 – 14th December 2022,,179.17,,148.34,Kunyao,,164.39,,,,,,,
15th November 2022 – 14th December 2022,,178.76,,147.93,Asilong,,163.98,,,,,,,
15th November 2022 – 14th December 2022,,178.79,,147.97,Orolwo,,164.01,,,,,,,
15th November 2022 – 14th December 2022,,178.74,,147.92,Sebit,,163.96,,,,,,,
15th November 2022 – 14th December 2022,,178.65,,147.82,Morpus,,163.87,,,,,,,
15th November 2022 – 14th December 2022,,178.53,,147.71,Chepkorniswo,,163.75,,,,,,,
15th November 2022 – 14th December 2022,,178.49,,147.66,Kaibichbich,,163.7,,,,,,,
15th November 2022 – 14th December 2022,,178.21,,147.39,Keringet,,163.43,,,,,,,
15th November 2022 – 14th December 2022,,177.5,,146.66,Kisumu,,162.7,,,,,,,
15th November 2022 – 14th December 2022,,177.59,,146.77,Sondu,,162.8,,,,,,,
15th November 2022 – 14th December 2022,,178.08,,147.25,Oyugis,,163.29,,,,,,,
15th November 2022 – 14th December 2022,,177.54,,146.72,Kakamega,,162.75,,,,,,,
15th November 2022 – 14th December 2022,,177.82,,146.99,Mumias,,163.03,,,,,,,
15th November 2022 – 14th December 2022,,177.7,,146.88,Bondo,,162.91,,,,,,,
15th November 2022 – 14th December 2022,,177.83,,147.0,Siaya,,163.04,,,,,,,
15th November 2022 – 14th December 2022,,178.0,,147.17,Kericho,,163.21,,,,,,,
15th November 2022 – 14th December 2022,,178.07,,147.24,Nyamira,,163.28,,,,,,,
15th November 2022 – 14th December 2022,,178.37,,147.55,Kisii,,163.58,,,,,,,
15th November 2022 – 14th December 2022,,178.21,,147.38,Sotik,,163.42,,,,,,,
15th November 2022 – 14th December 2022,,178.39,,147.56,Keroka,,163.6,,,,,,,
15th November 2022 – 14th December 2022,,178.36,,147.54,Busia,,163.57,,,,,,,
15th November 2022 – 14th December 2022,,178.31,,147.48,Homabay,,163.52,,,,,,,
15th November 2022 – 14th December 2022,,179.17,,148.34,Migori,,164.37,,,,,,,
15th November 2022 – 14th December 2022,,179.45,,148.62,Isebania,,164.66,,,,,,,
15th November 2022 – 14th December 2022,,178.61,,147.78,Bomet,,163.82,,,,,,,
15th November 2022 – 14th December 2022,,177.72,,146.9,Muhoroni,,162.93,,,,,,,
15th November 2022 – 14th December 2022,,178.3,,147.47,Mbita,,163.5,,,,,,,
15th November 2022 – 14th December 2022,,177.5,,146.66,Mbale,,162.7,,,,,,,
15th November 2022 – 14th December 2022,,178.94,,148.12,Etago,,164.15,,,,,,,
15th November 2022 – 14th December 2022,,179.05,,148.22,Magenche,,164.26,,,,,,,
15th November 2022 – 14th December 2022,,178.88,,148.06,Kilgoris,,164.09,,,,,,,
15th November 2022 – 14th December 2022,,177.86,,147.03,Malava,,163.06,,,,,,,
15th November 2022 – 14th December 2022,,178.25,,147.42,Lugari,,163.45,,,,,,,
15th November 2022 – 14th December 2022,,178.37,,147.55,Rodi Kopany,,163.58,,,,,,,
15th November 2022 – 14th December 2022,,178.65,,147.82,Ndhiwa,,163.86,,,,,,,
15th November 2022 – 14th December 2022,,178.36,,147.54,Rangwe,,163.57,,,,,,,
15th November 2022 – 14th December 2022,,178.37,,147.55,Sindo,,163.58,,,,,,,
15th November 2022 – 14th December 2022,,177.45,,146.63,Awasi,,162.66,,,,,,,
15th November 2022 – 14th December 2022,,177.5,,146.66,Ahero,,162.7,,,,,,,
15th November 2022 – 14th December 2022,,177.93,,147.1,Ugunja,,163.13,,,,,,,
15th November 2022 – 14th December 2022,,177.57,,146.75,Asembo,,162.78,,,,,,,
15th November 2022 – 14th December 2022,,178.06,,147.22,Usenge,,163.26,,,,,,,
15th November 2022 – 14th December 2022,,177.54,,146.71,Harambee,,162.75,,,,,,,
15th November 2022 – 14th December 2022,,179.31,,148.48,Muhuru Bay,,164.52,,,,,,,
15th November 2022 – 14th December 2022,,179.54,,148.71,Kehancha,,164.75,,,,,,,
15th November 2022 – 14th December 2022,,179.85,,149.02,Ntimaru,,165.06,,,,,,,
15th November 2022 – 14th December 2022,,178.62,,147.8,Rongo,,163.83,,,,,,,
15th November 2022 – 14th December 2022,,178.59,,147.75,Kaspokwony,,163.8,,,,,,,
15th November 2022 – 14th December 2022,,178.53,,147.7,Chwele,,163.74,,,,,,,
15th November 2022 – 14th December 2022,,178.46,,147.62,Kimilili,,163.67,,,,,,,
15th November 2022 – 14th December 2022,,178.36,,147.54,Nambale,,163.57,,,,,,,
15th November 2022 – 14th December 2022,,178.35,,147.53,SioPort,,163.56,,,,,,,
15th November 2022 – 14th December 2022,,178.4,,147.57,Port Bunyala,,163.61,,,,,,,
15th November 2022 – 14th December 2022,,178.22,,147.4,Funyula,,163.43,,,,,,,
15th November 2022 – 14th December 2022,,178.53,,147.7,Ogembo,,163.74,,,,,,,
15th November 2022 – 14th December 2022,,178.79,,147.96,Nyangusu,,164.0,,,,,,,
15th November 2022 – 14th December 2022,,178.72,,147.88,Sengera,,163.92,,,,,,,
15th November 2022 – 14th December 2022,,178.44,,147.61,Keumbu,,163.64,,,,,,,
15th November 2022 – 14th December 2022,,178.14,,147.31,Marani,,163.35,,,,,,,
15th November 2022 – 14th December 2022,,178.5,,147.68,Kerina,,163.71,,,,,,,
15th November 2022 – 14th December 2022,,177.86,,147.03,Ikonge,,163.07,,,,,,,
15th November 2022 – 14th December 2022,,178.26,,147.43,Nyansiongo,,163.47,,,,,,,
15th August 2022 –14th September 2022,,156.86,,,Mombasa,,,,137.76,125.69,,,,
15th August 2022 –14th September 2022,,157.57,,,Kilifi,,,,138.47,126.41,,,,
15th August 2022 –14th September 2022,,157.22,,,Likoni Mainland,,,,138.11,126.05,,,,
15th August 2022 –14th September 2022,,157.22,,,Kwale,,,,138.11,126.05,,,,
15th August 2022 –14th September 2022,,157.78,,,Malindi,,,,138.67,126.61,,,,
15th August 2022 –14th September 2022,,157.93,,,Lungalunga,,,,138.83,126.76,,,,
15th August 2022 –14th September 2022,,158.34,,,Voi,,,,139.24,127.17,,,,
15th August 2022 –14th September 2022,,159.75,,,Taveta,,,,140.64,128.58,,,,
15th August 2022 –14th September 2022,,160.16,,,Lamu,,,,141.06,129.0,,,,
15th August 2022 –14th September 2022,,160.45,,,Hola,,,,141.34,129.28,,,,
15th August 2022 –14th September 2022,,160.16,,,Mpeketoni,,,,141.06,129.0,,,,
15th August 2022 –14th September 2022,,159.13,,,Minjila,,,,140.02,127.96,,,,
15th August 2022 –14th September 2022,,159.22,,,Garsen,,,,140.11,128.05,,,,
15th August 2022 –14th September 2022,,157.16,,,Samburu,,,,138.06,126.0,,,,
15th August 2022 –14th September 2022,,157.34,,,Taru,,,,138.24,126.18,,,,
15th August 2022 –14th September 2022,,158.68,,,Mwatate,,,,139.57,127.51,,,,
15th August 2022 –14th September 2022,,158.84,,,Wundanji,,,,139.74,127.68,,,,
15th August 2022 –14th September 2022,,157.01,,,Kaloleni,,,,137.92,125.85,,,,
15th August 2022 –14th September 2022,,158.44,,,Marereni,,,,139.34,127.27,,,,
15th August 2022 –14th September 2022,,159.12,,,Nairobi,,,,140.0,127.94,,,,
15th August 2022 –14th September 2022,,159.12,,,Thika,,,,140.01,127.94,,,,
15th August 2022 –14th September 2022,,159.36,,,Machakos,,,,140.24,128.18,,,,
15th August 2022 –14th September 2022,,159.54,,,Kajiado,,,,140.42,128.36,,,,
15th August 2022 –14th September 2022,,159.41,,,Makuyu,,,,140.29,128.23,,,,
15th August 2022 –14th September 2022,,159.64,,,Muranga,,,,140.52,128.46,,,,
15th August 2022 –14th September 2022,,159.85,,,Sagana,,,,140.75,128.68,,,,
15th August 2022 –14th September 2022,,160.22,,,Embu,,,,141.1,129.04,,,,
15th August 2022 –14th September 2022,,160.14,,,Kerugoya,,,,141.03,128.97,,,,
15th August 2022 –14th September 2022,,160.5,,,Narok,,,,141.4,129.33,,,,
15th August 2022 –14th September 2022,,160.49,,,Nyeri,,,,141.37,129.31,,,,
15th August 2022 –14th September 2022,,160.66,,,Namanga,,,,141.55,129.48,,,,
15th August 2022 –14th September 2022,,160.46,,,Kiganjo,,,,141.34,129.28,,,,
15th August 2022 –14th September 2022,,160.75,,,Chuka,,,,141.63,129.57,,,,
15th August 2022 –14th September 2022,,160.65,,,Kitui,,,,141.54,129.47,,,,
15th August 2022 –14th September 2022,,161.03,,,Mwingi,,,,141.93,129.86,,,,
15th August 2022 –14th September 2022,,161.05,,,Nanyuki,,,,141.94,129.87,,,,
15th August 2022 –14th September 2022,,162.01,,,Nkubu,,,,142.91,130.84,,,,
15th August 2022 –14th September 2022,,161.55,,,Mtito Andei,,,,142.44,130.38,,,,
15th August 2022 –14th September 2022,,162.21,,,Meru,,,,143.1,131.04,,,,
15th August 2022 –14th September 2022,,162.07,,,Isiolo,,,,142.96,130.89,,,,
15th August 2022 –14th September 2022,,162.66,,,Maua,,,,143.56,131.49,,,,
15th August 2022 –14th September 2022,,163.29,,,Garissa,,,,144.17,132.11,,,,
15th August 2022 –14th September 2022,,166.97,,,Marsabit,,,,147.85,135.79,,,,
15th August 2022 –14th September 2022,,166.05,,,Liboi,,,,146.94,134.87,,,,
15th August 2022 –14th September 2022,,168.55,,,Moyale,,,,149.44,137.37,,,,
15th August 2022 –14th September 2022,,167.61,,,Sololo,,,,148.49,136.43,,,,
15th August 2022 –14th September 2022,,165.98,,,Habaswein,,,,146.86,134.8,,,,
15th August 2022 –14th September 2022,,164.67,,,Dadaab,,,,145.55,133.49,,,,
15th August 2022 –14th September 2022,,168.22,,,Tarbaj,,,,149.12,137.04,,,,
15th August 2022 –14th September 2022,,169.83,,,Elwak,,,,150.72,138.65,,,,
15th August 2022 –14th September 2022,,168.38,,,Wajir,,,,149.27,137.21,,,,
15th August 2022 –14th September 2022,,166.12,,,Modogashe,,,,147.0,134.94,,,,
15th August 2022 –14th September 2022,,172.15,,,Mandera,,,,153.05,140.98,,,,
15th August 2022 –14th September 2022,,160.02,,,Matuu,,,,140.9,128.84,,,,
15th August 2022 –14th September 2022,,164.46,,,Merti,,,,145.35,133.29,,,,
15th August 2022 –14th September 2022,,161.47,,,Oldonyiro,,,,142.36,130.29,,,,
15th August 2022 –14th September 2022,,170.16,,,Eldas,,,,151.04,138.98,,,,
15th August 2022 –14th September 2022,,167.19,,,Bute,,,,148.08,136.02,,,,
15th August 2022 –14th September 2022,,165.78,,,Hadado,,,,146.67,134.6,,,,
15th August 2022 –14th September 2022,,159.24,,,Mai Mahiu,,,,140.12,128.06,,,,
15th August 2022 –14th September 2022,,161.81,,,Doldo,,,,142.7,130.63,,,,
15th August 2022 –14th September 2022,,160.93,,,Lamuria,,,,141.82,129.75,,,,
15th August 2022 –14th September 2022,,161.8,,,Sipili,,,,142.68,130.62,,,,
15th August 2022 –14th September 2022,,161.42,,,Marimanti,,,,142.31,130.25,,,,
15th August 2022 –14th September 2022,,160.76,,,Mutuobare,,,,141.65,129.58,,,,
15th August 2022 –14th September 2022,,167.93,,,North Horr,,,,148.82,136.75,,,,
15th August 2022 –14th September 2022,,166.55,,,Maikona,,,,147.43,135.37,,,,
15th August 2022 –14th September 2022,,167.09,,,Kalacha,,,,147.97,135.91,,,,
15th August 2022 –14th September 2022,,167.15,,,Loyangalani,,,,148.04,135.97,,,,
15th August 2022 –14th September 2022,,166.96,,,Turbi,,,,147.84,135.78,,,,
15th August 2022 –14th September 2022,,164.16,,,Laisamis,,,,145.06,132.98,,,,
15th August 2022 –14th September 2022,,163.87,,,Merille,,,,144.75,132.69,,,,
15th August 2022 –14th September 2022,,165.11,,,Korr,,,,146.0,133.93,,,,
15th August 2022 –14th September 2022,,158.64,,,Nakuru,,,,139.83,127.79,,,,
15th August 2022 –14th September 2022,,158.61,,,Gilgil,,,,139.79,127.76,,,,
15th August 2022 –14th September 2022,,158.6,,,Mogotio,,,,139.78,127.74,,,,
15th August 2022 –14th September 2022,,158.69,,,Molo,,,,139.86,127.83,,,,
15th August 2022 –14th September 2022,,159.39,,,Olenguruone,,,,140.56,128.53,,,,
15th August 2022 –14th September 2022,,158.9,,,Londiani,,,,140.09,128.05,,,,
15th August 2022 –14th September 2022,,158.89,,,Nyahururu,,,,140.08,128.04,,,,
15th August 2022 –14th September 2022,,161.88,,,Archers Post,,,,143.06,131.03,,,,
15th August 2022 –14th September 2022,,162.98,,,Lodosoit,,,,144.16,132.13,,,,
15th August 2022 –14th September 2022,,158.97,,,Naivasha,,,,140.15,128.11,,,,
15th August 2022 –14th September 2022,,159.38,,,Marigat,,,,140.55,128.51,,,,
15th August 2022 –14th September 2022,,159.86,,,Kabarnet ,,,,141.04,129.01,,,,
15th August 2022 –14th September 2022,,160.95,,,Maralal,,,,142.13,130.1,,,,
15th August 2022 –14th September 2022,,161.79,,,Wamba,,,,142.97,130.93,,,,
15th August 2022 –14th September 2022,,159.43,,,Rumuruti,,,,140.62,128.58,,,,
15th August 2022 –14th September 2022,,159.53,,,Eldoret,,,,140.72,128.67,,,,
15th August 2022 –14th September 2022,,159.53,,,Kiplombe,,,,140.72,128.67,,,,
15th August 2022 –14th September 2022,,159.53,,,Iten,,,,140.72,128.67,,,,
15th August 2022 –14th September 2022,,159.53,,,Naiberi,,,,140.72,128.67,,,,
15th August 2022 –14th September 2022,,159.53,,,Kesses,,,,140.72,128.67,,,,
15th August 2022 –14th September 2022,,159.54,,,Kapsabet,,,,140.74,128.68,,,,
15th August 2022 –14th September 2022,,159.95,,,Webuye,,,,141.15,129.1,,,,
15th August 2022 –14th September 2022,,159.89,,,Kitale,,,,141.08,129.03,,,,
15th August 2022 –14th September 2022,,160.52,,,Kapenguria ,,,,141.72,129.67,,,,
15th August 2022 –14th September 2022,,160.3,,,Bungoma,,,,141.48,129.44,,,,
15th August 2022 –14th September 2022,,159.54,,,Moiben,,,,140.74,128.68,,,,
15th August 2022 –14th September 2022,,159.52,,,Matunda,,,,140.7,128.66,,,,
15th August 2022 –14th September 2022,,159.48,,,Burnt Forest,,,,140.67,128.62,,,,
15th August 2022 –14th September 2022,,159.57,,,Tambach,,,,140.76,128.71,,,,
15th August 2022 –14th September 2022,,160.04,,,Kapsowar,,,,141.22,129.18,,,,
15th August 2022 –14th September 2022,,159.92,,,Chebara,,,,141.1,129.06,,,,
15th August 2022 –14th September 2022,,159.84,,,Kimwarer,,,,141.03,128.99,,,,
15th August 2022 –14th September 2022,,159.77,,,Timboroa,,,,140.95,128.9,,,,
15th August 2022 –14th September 2022,,159.72,,,Nandi Hills,,,,140.91,128.87,,,,
15th August 2022 –14th September 2022,,159.58,,,Kaiboi,,,,140.77,128.73,,,,
15th August 2022 –14th September 2022,,160.07,,,Kiminini,,,,141.27,129.21,,,,
15th August 2022 –14th September 2022,,160.43,,,Endebes,,,,141.61,129.57,,,,
15th August 2022 –14th September 2022,,160.1,,,Saboti,,,,141.29,129.25,,,,
15th August 2022 –14th September 2022,,160.73,,,Chepareria,,,,141.93,129.87,,,,
15th August 2022 –14th September 2022,,162.35,,,Lomut,,,,143.53,131.49,,,,
15th August 2022 –14th September 2022,,161.15,,,Burgich,,,,142.34,130.29,,,,
15th August 2022 –14th September 2022,,161.28,,,Sigor,,,,142.47,130.42,,,,
15th August 2022 –14th September 2022,,163.71,,,Lodwar,,,,144.9,132.85,,,,
15th August 2022 –14th September 2022,,165.3,,,Kakuma,,,,146.49,134.44,,,,
15th August 2022 –14th September 2022,,162.71,,,Lokichar,,,,143.9,131.85,,,,
15th August 2022 –14th September 2022,,164.47,,,Kalokol,,,,145.66,133.61,,,,
15th August 2022 –14th September 2022,,163.07,,,Lokori,,,,144.27,132.22,,,,
